id	effectiveTime	active	moduleId	sourceId	value	relationshipGroup	typeId	characteristicTypeId	modifierId
34601000003023		1	900000000000207008	329238006	#1	0	1142139005	900000000000011006	900000000000451002
34651000003024		1	900000000000207008	329238006	#4000	1	1142135004	900000000000011006	900000000000451002
34661000003022		1	900000000000207008	329238006	#1	1	1142136003	900000000000011006	900000000000451002
35001000003027		1	900000000000207008	779430005	#1	0	1142139005	900000000000011006	900000000000451002
41951000003028		1	900000000000207008	1204474000	#1	0	1142139005	900000000000011006	900000000000451002
42001000003021		1	900000000000207008	1204474000	#1	1	1142137007	900000000000011006	900000000000451002
42011000003023		1	900000000000207008	1204474000	#600	1	1142138002	900000000000011006	900000000000451002
61071000003029		1	900000000000207008	776168003	#1	0	1142139005	900000000000011006	900000000000451002
